actor, actors
"Mark Wahlberg","Michelle Monaghan,J.K. Simmons,John Goodman,Kurt Russell,Douglas M. Griffin,James DuMont,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Nicola Peltz,Jack Reynor,Stanley Tucci,Taylor Kitsch,Emile Hirsch,Ben Foster,Will Ferrell,Derek Jeter,Eva Mendes,Michael Peña,Rhona Mitra,Danny Glover,Zooey Deschanel,John Leguizamo,Ashlyn Sanchez,Linda Cardellini,Thomas Haden Church,Rachel Weisz,Saoirse Ronan,Susan Sarandon,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Dwayne Johnson,Anthony Mackie,Tony Shalhoub,Mila Kunis,Joel McHale,Christian Bale,Amy Adams,Melissa Leo,Jessica Lange,Brie Larson"
"Hugh Jackman","Christian Bale,Scarlett Johansson,Michael Caine,Jake Gyllenhaal,Viola Davis,Melissa Leo,Patrick Stewart,Ian McKellen,James McAvoy,Russell Crowe,Anne Hathaway,Amanda Seyfried,Liev Schreiber,Ryan Reynolds,Danny Huston,Will Yun Lee,Tao Okamoto,Rila Fukushima,Taron Egerton,Tom Costello,Jo Hartley,Sharlto Copley,Dev Patel,Sigourney Weaver,Levi Miller,Garrett Hedlund,Rooney Mara,Halle Berry,Famke Janssen,Nicole Kidman,Shea Adams,Eddie Baroo,Elijah Wood,Brittany Murphy,Robin Williams,Rachel Weisz,Sean Patrick Thomas,Ellen Burstyn,Evangeline Lilly,Dakota Goyo,Anthony Mackie"
"Brad Pitt","Marion Cotillard,Jared Harris,Vincent Ebrahim,Diane Kruger,Eli Roth,Mélanie Laurent,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Christian Bale,Steve Carell,Ryan Gosling,Shia LaBeouf,Logan Lerman,Michael Peña,Cate Blanchett,Tilda Swinton,Julia Ormond,Mireille Enos,Daniella Kertesz,James Badge Dale,Robin Wright,Jonah Hill,Philip Seymour Hoffman,Will Ferrell,Tina Fey,Casey Affleck,Sam Shepard,Mary-Louise Parker,Gael García Bernal,Mohamed Akhzam,Sean Penn,Jessica Chastain,Hunter McCracken,George Clooney,Matt Damon,Michael Mantell"
"Christian Bale","Heath Ledger,Aaron Eckhart,Michael Caine,Hugh Jackman,Scarlett Johansson,Oscar Isaac,Charlotte Le Bon,Daniel Giménez Cacho,Tom Hardy,Anne Hathaway,Gary Oldman,Steve Carell,Ryan Gosling,Brad Pitt,Amy Adams,Bradley Cooper,Jennifer Lawrence,Joel Edgerton,Ben Kingsley,Sigourney Weaver,Johnny Depp,Christian Stolte,Jason Clarke,Cate Blanchett,Natalie Portman,Brian Dennehy,Mark Wahlberg,Melissa Leo,Steve Zahn,Jeremy Davies,Zach Grenier,Casey Affleck,Zoe Saldana,Woody Harrelson,Sam Worthington,Anton Yelchin,Moon Bloodgood"
"Chloë Grace Moretz","Aaron Taylor-Johnson,Nicolas Cage,Garrett M. Brown,Seth Rogen,Rose Byrne,Zac Efron,Denzel Washington,Marton Csokas,David Harbour,Matthew Zuk,Gabriela Lopez,Bailey Anne Borders,Christopher Mintz-Plasse,Jim Carrey,Julianne Moore,Gabriella Wilde,Portia Doubleday,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Kodi Smit-McPhee,Richard Jenkins,Cara Buono,Asa Butterfield,Christopher Lee,Ben Kingsley,Mireille Enos,Jamie Blackley,Joshua Leonard,Charlize Theron,Nicholas Hoult,Christina Hendricks"
"Michael Fassbender","Noomi Rapace,Logan Marshall-Green,Charlize Theron,Marion Cotillard,Jeremy Irons,Brendan Gleeson,James McAvoy,Jennifer Lawrence,Nicholas Hoult,Chiwetel Ejiofor,Michael Kenneth Williams,Brad Pitt,Alicia Vikander,Rachel Weisz,Florence Clery,Kevin Bacon,Kate Winslet,Seth Rogen,Jeff Daniels,Carey Mulligan,James Badge Dale,Lucy Walters,Jack Madigan,Frank Madigan,Penélope Cruz,Cameron Diaz,Javier Bardem,Mia Wasikowska,Jamie Bell,Su Elliot,Dominic West,Olga Kurylenko,Andreas Wisniewski"
"Scarlett Johansson","Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Chris Evans,Robert Downey Jr.,Sebastian Stan,Christian Bale,Hugh Jackman,Michael Caine,Jeremy Renner,Joaquin Phoenix,Amy Adams,Rooney Mara,Samuel L. Jackson,Robert Redford,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell,Morgan Freeman,Min-sik Choi,Amr Waked,Joseph Gordon-Levitt,Julianne Moore,Tony Danza,Jon Favreau,Dustin Hoffman,Rebecca Hall,Javier Bardem,Christopher Evan Welch,Natalie Portman,Eric Bana,Jim Sturgess"
"Anne Hathaway","Jason Sudeikis,Austin Stowell,Tim Blake Nelson,Matthew McConaughey,Jessica Chastain,Mackenzie Foy,Christian Bale,Tom Hardy,Gary Oldman,Hugh Jackman,Russell Crowe,Amanda Seyfried,Meryl Streep,Adrian Grenier,Emily Blunt,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Robert De Niro,Rene Russo,Anders Holm,Jake Gyllenhaal,Judy Greer,Oliver Platt,Jim Sturgess,Patricia Clarkson,Tom Mison,Jesse Eisenberg,George Lopez,Karen Disher,Kate Hudson,Candice Bergen,Bryan Greenberg"
"Channing Tatum","Jonah Hill,Ice Cube,Brie Larson,Nick Offerman,Mila Kunis,Eddie Redmayne,Sean Bean,Jenna Dewan Tatum,Damaine Radcliff,De'Shawn Washington,Jamie Foxx,Maggie Gyllenhaal,Jason Clarke,Alex Pettyfer,Olivia Munn,Matthew McConaughey,Joe Manganiello,Matt Bomer,Adam Rodriguez,Amanda Bynes,Laura Ramsey,Vinnie Jones,Rosario Dawson,Chris Pratt,Diego Luna,Zoe Saldana,Ron Perlman,Dennis Quaid,Marlon Wayans,Adewale Akinnuoye-Agbaje,Dwayne Johnson,Adrianne Palicki,Byung-hun Lee"
"Tom Hardy","Charlize Theron,Nicholas Hoult,Zoë Kravitz,Emily Browning,Taron Egerton,Paul Anderson,Christian Bale,Anne Hathaway,Gary Oldman,Leonardo DiCaprio,Will Poulter,Domhnall Gleeson,Nick Nolte,Joel Edgerton,Jennifer Morrison,Kelly Adams,Luing Andrews,Katy Barker,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,Shia LaBeouf,Guy Pearce,Jason Clarke,Joel Kinnaman,Colin Firth,Mark Strong,Reese Witherspoon,Chris Pine,Til Schweiger,Olivia Colman,Ruth Wilson,Andrew Scott"
