actor,movies
"Johnny Depp","Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: Dead Man's Chest,Alice Through the Looking Glass,Black Mass,Alice in Wonderland,Sweeney Todd: The Demon Barber of Fleet Street,Public Enemies,Dark Shadows,Yoga Hosers,Transcendence,The Lone Ranger"
"Brad Pitt","Allied,Inglourious Basterds,12 Years a Slave,The Big Short,Fury,The Curious Case of Benjamin Button,World War Z,Moneyball,Megamind,The Assassination of Jesse James by the Coward Robert Ford,Babel,The Tree of Life,Ocean's Thirteen"
"Daniel Radcliffe","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Order of the Phoenix,Victor Frankenstein,Swiss Army Man,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Half-Blood Prince,Imperium,Horns,What If"
"Jennifer Lawrence","Passengers,X-Men: Apocalypse,The Hunger Games,X: First Class,Silver Linings Playbook,American Hustle,Joy,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Catching Fire,Winter's Bone,The Hunger Games: Mockingjay - Part 1"
"Emma Watson","Harry Potter and the Deathly Hallows: Part 2,The Perks of Being a Wallflower,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Half-Blood Prince,Colonia,Regression,Noah"
"Cate Blanchett","Cinderella,The Hobbit: The Battle of the Five Armies,Robin Hood,Hanna,The Curious Case of Benjamin Button,Carol,Knight of Cups,Indiana Jones and the Kingdom of the Crystal Skull,Blue Jasmine,Babel,How to Train Your Dragon 2"
"Christian Bale","The Dark Knight,The Prestige,The Promise,The Dark Knight Rises,The Big Short,American Hustle,Exodus: Gods and Kings,Public Enemies,Knight of Cups,The Fighter,Rescue Dawn,Out of the Furnace,Terminator Salvation"
"Shia LaBeouf","Transformers,American Honey,Fury,Nymphomaniac: Vol. I,Transformers: Dark of the Moon,Lawless,Transformers: Revenge of the Fallen,Eagle Eye,Indiana Jones and the Kingdom of the Crystal Skull,Man Down,Disturbia"
"Mark Wahlberg","Patriots Day,Deepwater Horizon,The Departed,Transformers: Age of Extinction,Lone Survivor,The Other Guys,Shooter,The Happening,Daddy's Home,The Lovely Bones,Ted 2,Pain & Gain,Ted,The Fighter,The Gambler"
"Samuel L. Jackson","Kingsman: The Secret Service,The Hateful Eight,Miss Peregrine's Home for Peculiar Children,Captain America: The First Avenger,Old Boy,Captain America: The Winter Soldier,Jumper,1408,Snakes on a Plane"
"Hugh Jackman","The Prestige,Prisoners,X-Men: Days of Future Past,Les Misérables,X-Men Origins: Wolverine,The Wolverine,Eddie the Eagle,Chappie,Pan,X-Men: The Last Stand,Australia,Happy Feet,The Fountain,Real Steel"
"Gerard Butler","300,Gods of Egypt,RocknRolla,The Headhunter's Calling,London Has Fallen,Olympus Has Fallen,Law Abiding Citizen,P.S. I Love You,How to Train Your Dragon,The Ugly Truth,How to Train Your Dragon 2"
"Woody Harrelson","No Country for Old Men,Now You See Me 2,Now You See Me,Zombieland,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 1,Seven Pounds,Seven Psychopaths,Out of the Furnace"
"Chris Evans","Captain America: Civil War,The Avengers,Avengers: Age of Ultron,Captain America: The First Avenger,Captain America: The Winter Soldier,Snowpiercer,Sunshine,Before We Go,What's Your Number?"
"Channing Tatum","21 Jump Street,22 Jump Street,Jupiter Ascending,Step Up,White House Down,Magic Mike,Magic Mike XXL,She's the Man,10 Years,The Book of Life,G.I. Joe: The Rise of Cobra,G.I. Joe: Retaliation"
"Charlize Theron","Prometheus,The Last Face,Mad Max: Fury Road,Kubo and the Two Strings,The Huntsman: Winter's War,Snow White and the Huntsman,A Million Ways to Die in the West,The Road,Hancock,Dark Places"
"Liam Hemsworth","Independence Day: Resurgence,The Hunger Games,The Dressmaker,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 1,The Expendables 2"
"Robert Downey Jr.","Captain America: Civil War,The Avengers,Avengers: Age of Ultron,Tropic Thunder,Iron Man,Zodiac,Iron Man Three,Sherlock Holmes,Iron Man 2,Sherlock Holmes: A Game of Shadows,The Judge,Chef"
"Anne Hathaway","Colossal,Interstellar,The Dark Knight Rises,Les Misérables,The Devil Wears Prada,Alice Through the Looking Glass,Alice in Wonderland,The Intern,Love & Other Drugs,One Day,Rio,Bride Wars"
"Kristen Stewart","Personal Shopper,Twilight,Café Society,The Twilight Saga: Breaking Dawn - Part 2,Snow White and the Huntsman,Equals,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Eclipse"
"Scarlett Johansson","Sing,Captain America: Civil War,The Prestige,The Avengers,Her,Captain America: The Winter Soldier,Under the Skin,Lucy,Don Jon,Chef,Vicky Cristina Barcelona,The Other Boleyn Girl"
"Tom Cruise","Jack Reacher: Never Go Back,Edge of Tomorrow,Mission: Impossible - Rogue Nation,Oblivion,Mission: Impossible - Ghost Protocol,Jack Reacher,Mission: Impossible III,Rock of Ages"
"Bradley Cooper","Guardians of the Galaxy,The Place Beyond the Pines,The Hangover,American Sniper,Silver Linings Playbook,American Hustle,Joy,Limitless,Burnt,The A-Team,The Midnight Meat Train"
"Chris Hemsworth","Avengers: Age of Ultron,Thor,Thor: The Dark World,The Huntsman: Winter's War,The Cabin in the Woods,Blackhat,Rush,In the Heart of the Sea,Snow White and the Huntsman,Red Dawn"
"Rupert Grint","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Half-Blood Prince"
"Ian McKellen","X-Men: Days of Future Past,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,Stardust,The Hobbit: The Desolation of Smaug,The Da Vinci Code"
"Keira Knightley","Pirates of the Caribbean: At World's End,Pirates of the Caribbean: Dead Man's Chest,The Imitation Game,Atonement,Anna Karenina,Jack Ryan: Shadow Recruit,Begin Again"
"Michael Fassbender","Prometheus,Assassin's Creed,X-Men: Apocalypse,12 Years a Slave,The Light Between Oceans,X: First Class,Steve Jobs,Shame,Macbeth,The Counselor,Jane Eyre,Centurion"
"Seth Rogen","Sausage Party,Neighbors 2: Sorority Rising,This Is the End,Steve Jobs,The Interview,Knocked Up,Pineapple Express,Neighbors,Paul,Zack and Miri Make a Porno,50/50"
"Steve Carell","The Big Short,Crazy, Stupid, Love.,Café Society,Despicable Me,Little Miss Sunshine,Despicable Me 2,Alexander and the Terrible, Horrible, No Good, Very Bad Day"
"Martin Freeman","Hot Fuzz,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,Whiskey Tango Foxtrot,The World's End"
"James Franco","Why Him?,Rise of the Planet of the Apes,This Is the End,Oz the Great and Powerful,The Interview,Pineapple Express,127 Hours,In Dubious Battle,Your Highness"
"Anna Kendrick","Trolls,The Accountant,Mike and Dave Need Wedding Dates,Into the Woods,Pitch Perfect,Pitch Perfect 2,Mr. Right,The Hollars,50/50,Up in the Air,End of Watch"
